,Previous Day,Next day
0,345.6,333.6
1,333.6,363.4
2,363.4,407.4
3,407.4,404.9
4,404.9,427.4
5,427.4,410.7
6,410.7,403.8
7,403.8,393.6
8,393.6,390.9
9,390.9,392.2
10,392.2,361.3
11,361.3,354.7
12,354.7,339.4
13,339.4,350.6
14,350.6,381.5
15,381.5,389.7
16,389.7,402.1
17,402.1,386.9
18,386.9,409.8
19,409.8,405.0
20,405.0,390.2
21,390.2,398.9
22,398.9,368.0
23,368.0,355.1
24,355.1,329.6
25,329.6,333.7
26,333.7,379.8
27,379.8,401.4
28,401.4,413.5
29,413.5,416.3
30,416.3,413.1
31,413.1,381.5
32,381.5,379.8
33,379.8,403.0
34,403.0,361.0
35,361.0,346.6
36,346.6,346.6
37,346.6,325.9
38,325.9,363.4
39,363.4,399.1
40,399.1,412.5
41,412.5,386.6
42,386.6,373.8
43,373.8,381.4
44,381.4,379.6
45,379.6,386.6
46,386.6,351.6
47,351.6,347.2
48,347.2,334.2
49,334.2,332.8
50,332.8,370.5
51,370.5,400.3
52,400.3,443.1
53,443.1,430.5
54,430.5,414.2
55,414.2,402.0
56,402.0,400.4
57,400.4,400.9
58,400.9,367.8
59,367.8,354.8
60,354.8,358.4
61,358.4,384.3
62,384.3,415.2
63,415.2,408.1
64,408.1,431.5
65,431.5,411.8
66,411.8,389.7
67,389.7,388.7
68,388.7,395.2
69,395.2,414.2
70,414.2,380.2
71,380.2,357.4
72,357.4,328.3
73,328.3,327.4
74,327.4,367.8
75,367.8,394.8
76,394.8,425.7
77,425.7,412.9
78,412.9,414.4
79,414.4,410.5
80,410.5,388.8
81,388.8,376.9
82,376.9,351.6
83,351.6,351.5
84,351.5,347.8
85,347.8,348.5
86,348.5,372.7
87,372.7,383.5
88,383.5,418.7
89,418.7,409.8
90,409.8,401.2
91,401.2,394.1
92,394.1,382.0
93,382.0,386.7
94,386.7,357.9
95,357.9,354.7
96,354.7,341.2
97,341.2,338.0
98,338.0,386.3
99,386.3,410.1
100,410.1,434.8
101,434.8,417.8
102,417.8,423.6
103,423.6,382.2
104,382.2,368.0
105,368.0,384.2
106,384.2,356.8
107,356.8,347.5
108,347.5,331.0
109,331.0,323.0
110,323.0,374.9
111,374.9,401.8
112,401.8,427.8
113,427.8,419.1
114,419.1,423.8
115,423.8,393.3
116,393.3,376.4
117,376.4,398.2
118,398.2,372.9
119,372.9,345.4
120,345.4,322.9
121,322.9,329.6
122,329.6,378.9
123,378.9,389.3
124,389.3,405.4
125,405.4,415.7
126,415.7,425.2
127,425.2,408.5
128,408.5,406.2
129,406.2,416.4
130,416.4,397.3
131,397.3,360.2
132,360.2,368.7
133,368.7,367.2
134,367.2,402.4
135,402.4,426.5
136,426.5,441.3
137,441.3,405.9
138,405.9,407.0
139,407.0,406.9
140,406.9,401.9
141,401.9,401.9
142,401.9,355.4
143,355.4,353.5
144,353.5,354.5
145,354.5,324.9
146,324.9,354.8
147,354.8,380.0
148,380.0,420.4
149,420.4,438.2
150,438.2,381.6
151,381.6,370.1
152,370.1,373.2
153,373.2,378.7
154,378.7,347.9
155,347.9,336.1
156,336.1,314.1
157,314.1,314.9
158,314.9,358.8
159,358.8,372.5
160,372.5,397.5
161,397.5,374.9
162,374.9,367.1
163,367.1,370.2
164,370.2,365.4
165,365.4,354.9
166,354.9,320.2
167,320.2,324.5
168,324.5,341.1
169,341.1,348.6
170,348.6,377.3
171,377.3,377.7
172,377.7,493.3
173,493.3,507.0
