,Previous Day,Next day
0,422.0,405.1
1,405.1,445.4
2,445.4,501.9
3,501.9,498.9
4,498.9,524.4
5,524.4,506.2
6,506.2,495.0
7,495.0,482.8
8,482.8,479.1
9,479.1,480.5
10,480.5,441.8
11,441.8,436.1
12,436.1,417.1
13,417.1,428.9
14,428.9,467.4
15,467.4,477.6
16,477.6,493.1
17,493.1,476.9
18,476.9,503.1
19,503.1,499.7
20,499.7,479.5
21,479.5,492.3
22,492.3,453.3
23,453.3,435.9
24,435.9,403.2
25,403.2,410.4
26,410.4,464.8
27,464.8,492.5
28,492.5,507.7
29,507.7,513.0
30,513.0,506.7
31,506.7,468.3
32,468.3,468.1
33,468.1,493.9
34,493.9,441.9
35,441.9,424.9
36,424.9,423.9
37,423.9,399.9
38,399.9,445.2
39,445.2,487.9
40,487.9,505.6
41,505.6,476.2
42,476.2,457.2
43,457.2,466.3
44,466.3,467.0
45,467.0,471.6
46,471.6,426.0
47,426.0,421.6
48,421.6,406.1
49,406.1,404.0
50,404.0,449.1
51,449.1,489.3
52,489.3,541.4
53,541.4,529.8
54,529.8,507.8
55,507.8,490.9
56,490.9,490.1
57,490.1,492.5
58,492.5,449.4
59,449.4,429.8
60,429.8,438.5
61,438.5,471.8
62,471.8,510.9
63,510.9,500.1
64,500.1,528.4
65,528.4,505.4
66,505.4,476.5
67,476.5,473.2
68,473.2,482.0
69,482.0,506.6
70,506.6,465.4
71,465.4,436.4
72,436.4,401.9
73,401.9,399.2
74,399.2,449.0
75,449.0,480.5
76,480.5,520.5
77,520.5,506.6
78,506.6,508.7
79,508.7,504.7
80,504.7,475.8
81,475.8,462.6
82,462.6,430.0
83,430.0,428.1
84,428.1,425.3
85,425.3,427.0
86,427.0,455.2
87,455.2,469.6
88,469.6,512.7
89,512.7,504.2
90,504.2,492.6
91,492.6,482.7
92,482.7,467.2
93,467.2,475.9
94,475.9,438.5
95,438.5,430.9
96,430.9,416.7
97,416.7,411.9
98,411.9,472.3
99,472.3,502.4
100,502.4,526.0
101,526.0,518.9
102,518.9,521.0
103,521.0,467.9
104,467.9,451.3
105,451.3,471.1
106,471.1,435.7
107,435.7,422.3
108,422.3,405.2
109,405.2,396.4
110,396.4,459.4
111,459.4,488.4
112,488.4,525.7
113,525.7,514.1
114,514.1,521.8
115,521.8,483.9
116,483.9,459.8
117,459.8,489.1
118,489.1,457.1
119,457.1,421.3
120,421.3,396.2
121,396.2,403.5
122,403.5,465.6
123,465.6,475.6
124,475.6,497.1
125,497.1,507.6
126,507.6,523.4
127,523.4,505.9
128,505.9,501.7
129,501.7,515.7
130,515.7,486.7
131,486.7,437.6
132,437.6,449.8
133,449.8,452.0
134,452.0,494.6
135,494.6,523.8
136,523.8,542.0
137,542.0,496.0
138,496.0,497.8
139,497.8,498.6
140,498.6,493.1
141,493.1,494.4
142,494.4,433.8
143,433.8,424.9
144,424.9,430.3
145,430.3,399.1
146,399.1,433.2
147,433.2,458.2
148,458.2,512.5
149,512.5,528.2
150,528.2,465.6
151,465.6,452.2
152,452.2,457.3
153,457.3,463.7
154,463.7,424.1
155,424.1,406.6
156,406.6,380.8
157,380.8,381.9
158,381.9,437.9
159,437.9,450.3
160,450.3,483.4
161,483.4,456.3
162,456.3,445.8
163,445.8,452.0
164,452.0,446.7
165,446.7,433.7
166,433.7,386.1
167,386.1,388.7
168,388.7,413.5
169,413.5,425.6
170,425.6,458.7
171,458.7,453.5
172,453.5,607.3
173,607.3,628.6
