,Previous Day,Next day
0,135.2,129.0
1,129.0,131.5
2,131.5,148.0
3,148.0,147.0
4,147.0,151.1
5,151.1,147.8
6,147.8,148.8
7,148.8,141.2
8,141.2,139.7
9,139.7,140.4
10,140.4,132.7
11,132.7,131.1
12,131.1,125.2
13,125.2,124.8
14,124.8,137.1
15,137.1,139.5
16,139.5,142.5
17,142.5,138.7
18,138.7,143.6
19,143.6,143.9
20,143.9,141.1
21,141.1,143.5
22,143.5,135.9
23,135.9,133.7
24,133.7,128.0
25,128.0,123.8
26,123.8,136.1
27,136.1,145.7
28,145.7,148.9
29,148.9,150.8
30,150.8,147.8
31,147.8,143.7
32,143.7,139.5
33,139.5,149.3
34,149.3,137.7
35,137.7,135.3
36,135.3,133.4
37,133.4,125.8
38,125.8,137.2
39,137.2,148.7
40,148.7,153.6
41,153.6,145.5
42,145.5,141.5
43,141.5,144.1
44,144.1,144.9
45,144.9,149.7
46,149.7,134.8
47,134.8,138.8
48,138.8,132.6
49,132.6,129.7
50,129.7,142.4
51,142.4,152.9
52,152.9,159.4
53,159.4,158.7
54,158.7,158.4
55,158.4,153.2
56,153.2,154.1
57,154.1,156.4
58,156.4,145.6
59,145.6,143.2
60,143.2,142.7
61,142.7,146.6
62,146.6,156.0
63,156.0,159.5
64,159.5,163.3
65,163.3,158.1
66,158.1,154.9
67,154.9,150.4
68,150.4,156.8
69,156.8,160.8
70,160.8,149.6
71,149.6,147.8
72,147.8,135.8
73,135.8,132.8
74,132.8,147.7
75,147.7,157.7
76,157.7,164.3
77,164.3,164.5
78,164.5,164.2
79,164.2,163.0
80,163.0,157.3
81,157.3,154.6
82,154.6,145.1
83,145.1,148.9
84,148.9,143.2
85,143.2,143.4
86,143.4,151.9
87,151.9,153.7
88,153.7,164.4
89,164.4,162.2
90,162.2,161.6
91,161.6,158.9
92,158.9,151.0
93,151.0,156.2
94,156.2,150.0
95,150.0,149.6
96,149.6,143.2
97,143.2,139.0
98,139.0,154.8
99,154.8,164.4
100,164.4,171.8
101,171.8,167.0
102,167.0,173.3
103,173.3,161.6
104,161.6,154.9
105,154.9,161.1
106,161.1,154.9
107,154.9,151.4
108,151.4,144.7
109,144.7,137.2
110,137.2,154.8
111,154.8,167.4
112,167.4,173.3
113,173.3,171.9
114,171.9,176.6
115,176.6,166.5
116,166.5,160.9
117,160.9,171.7
118,171.7,161.2
119,161.2,153.1
120,153.1,144.8
121,144.8,143.3
122,143.3,163.6
123,163.6,171.0
124,171.0,173.3
125,173.3,177.2
126,177.2,183.3
127,183.3,178.4
128,178.4,175.4
129,175.4,179.8
130,179.8,174.5
131,174.5,167.0
132,167.0,163.7
133,163.7,158.2
134,158.2,175.8
135,175.8,187.5
136,187.5,192.3
137,192.3,181.0
138,181.0,182.1
139,182.1,179.5
140,179.5,178.6
141,178.6,178.5
142,178.5,163.4
143,163.4,164.5
144,164.5,164.1
145,164.1,148.8
146,148.8,161.9
147,161.9,174.7
148,174.7,184.3
149,184.3,193.5
150,193.5,171.9
151,171.9,166.7
152,166.7,167.6
153,167.6,169.6
154,169.6,159.3
155,159.3,154.4
156,154.4,145.9
157,145.9,140.9
158,140.9,158.4
159,158.4,165.3
160,165.3,177.8
161,177.8,167.4
162,167.4,164.3
163,164.3,164.1
164,164.1,160.2
165,160.2,156.9
166,156.9,148.3
167,148.3,146.4
168,146.4,151.0
169,151.0,150.7
170,150.7,160.3
171,160.3,165.9
172,165.9,207.6
173,207.6,215.5
